age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,passed,AlcoholScore,ParentEducation,FamilySupport,StudyAbsenceRatio,SocialActivityScore,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,course_portuguese,AgeGroup_17,AgeGroup_18,AgeGroup_19+
18,4,4,2,2,0,4,3,4,1,1,3,6,0,2,8,1,0.2857142857142857,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
17,1,1,1,2,0,5,3,3,1,1,3,4,0,2,2,1,0.4,6,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
15,1,1,1,2,3,4,3,2,2,3,3,10,1,5,2,1,0.18181818181818182,5,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0
15,4,2,1,3,0,3,2,2,1,1,5,2,1,2,6,1,1.0,4,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0
16,3,3,1,2,0,4,3,2,1,2,5,4,1,3,6,1,0.4,5,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
16,4,3,1,2,0,5,4,2,1,2,5,10,1,3,7,1,0.18181818181818182,6,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
16,2,2,1,2,0,4,4,4,1,1,3,0,1,2,4,0,2.0,8,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
17,4,4,2,2,0,4,1,4,1,1,1,6,0,2,8,2,0.2857142857142857,5,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0
15,3,2,1,2,0,4,2,2,1,1,1,0,1,2,5,1,2.0,4,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0
15,3,4,1,2,0,5,5,1,1,1,5,0,1,2,7,1,2.0,6,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0
15,4,4,1,2,0,3,3,3,1,2,2,0,0,3,8,1,2.0,6,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0
15,2,1,3,3,0,5,2,2,1,1,4,4,1,2,3,1,0.6,4,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0
15,4,4,1,1,0,4,3,3,1,3,5,2,1,4,8,1,0.3333333333333333,6,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
15,4,3,2,2,0,5,4,3,1,2,3,2,1,3,7,1,0.6666666666666666,7,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0
15,2,2,1,3,0,4,5,2,1,1,3,0,1,2,4,1,3.0,7,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0
16,4,4,1,1,0,4,4,4,1,2,2,4,1,3,8,1,0.2,8,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0
16,4,4,1,3,0,3,2,3,1,2,2,6,1,3,8,1,0.42857142857142855,5,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
16,3,3,3,2,0,5,3,2,1,1,4,4,1,2,6,2,0.4,5,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0
17,3,2,1,1,3,5,5,5,2,4,5,16,0,6,5,1,0.058823529411764705,10,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0
16,4,3,1,1,0,3,1,3,1,3,5,4,1,4,7,0,0.2,4,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
